Available Drivers,Cancel Time,Order ID,Placed Time,Reject Time,Response Distance,Response Time,Service Type
35,,71,6/8/2018 10:51:05 AM,,2457,6/8/2018 10:51:28 AM,Van
143,,72,6/8/2018 10:52:47 AM,,1591,6/8/2018 10:53:00 AM,Van
19,,73,6/8/2018 10:53:10 AM,,4920,6/8/2018 10:53:51 AM,Motorcycle
18,,74,6/8/2018 10:53:58 AM,,4024,6/8/2018 10:54:26 AM,Van
55,,75,6/8/2018 10:54:06 AM,,3113,6/8/2018 10:54:15 AM,Van
130,,76,6/8/2018 10:55:15 AM,,3377,6/8/2018 10:55:31 AM,Van
32,,77,6/8/2018 11:01:53 AM,,2013,6/8/2018 11:02:03 AM,Motorcycle
109,6/8/2018 11:06:34 AM,78,6/8/2018 11:02:32 AM,,2173,6/8/2018 11:02:43 AM,Van
98,,79,6/8/2018 11:03:06 AM,,570,6/8/2018 11:03:14 AM,Van
81,,80,6/8/2018 11:03:10 AM,,3120,6/8/2018 11:03:25 AM,Van
137,,81,6/8/2018 11:03:52 AM,,2905,6/8/2018 11:03:59 AM,Van
167,6/8/2018 11:06:35 AM,82,6/8/2018 11:05:36 AM,,2957,6/8/2018 11:05:44 AM,Van
36,,83,6/8/2018 11:05:56 AM,,6126,6/8/2018 11:06:19 AM,Motorcycle
114,,84,6/8/2018 11:07:29 AM,,1622,6/8/2018 11:07:37 AM,Van
172,6/8/2018 11:08:45 AM,85,6/8/2018 11:08:04 AM,,2572,6/8/2018 11:08:25 AM,Van
171,,86,6/8/2018 11:09:04 AM,,,6/8/2018 11:09:25 AM,Van
87,,87,6/8/2018 11:09:22 AM,,1500,6/8/2018 11:09:30 AM,Van
97,,88,6/8/2018 11:09:39 AM,,2171,6/8/2018 11:09:59 AM,Van
50,,89,6/8/2018 11:13:18 AM,,2112,6/8/2018 11:13:39 AM,Van
141,,90,6/8/2018 11:15:49 AM,,2021,6/8/2018 11:16:01 AM,Van
16,,91,6/8/2018 11:16:01 AM,,8158,6/8/2018 11:16:22 AM,Motorcycle
172,6/8/2018 11:18:57 AM,92,6/8/2018 11:17:01 AM,,3406,6/8/2018 11:17:09 AM,Van
50,,93,6/8/2018 11:17:59 AM,,2393,6/8/2018 11:18:07 AM,Motorcycle
208,,94,6/8/2018 11:19:23 AM,6/11/2018 5:50:41 PM,1800,6/8/2018 11:19:45 AM,Van
87,,95,6/8/2018 11:20:07 AM,,2941,6/8/2018 11:20:16 AM,Van
32,,96,6/8/2018 11:21:41 AM,,1415,6/8/2018 11:21:52 AM,Van
133,,97,6/8/2018 11:22:07 AM,,2145,6/8/2018 11:22:16 AM,Van
140,,98,6/8/2018 11:24:44 AM,,2514,6/8/2018 11:24:51 AM,Van
6,,99,6/8/2018 11:26:00 AM,,3883,6/8/2018 11:26:36 AM,Van
152,,100,6/8/2018 11:28:52 AM,,1972,6/8/2018 11:29:02 AM,Van
18,,101,6/8/2018 11:29:35 AM,,3803,6/8/2018 11:29:56 AM,Van
35,,102,6/8/2018 11:29:55 AM,,1667,6/8/2018 11:30:19 AM,Van
70,,103,6/8/2018 11:31:12 AM,,5933,6/8/2018 11:31:21 AM,Van
96,,104,6/8/2018 11:32:30 AM,,708,6/8/2018 11:32:39 AM,Van
32,,105,6/8/2018 11:33:56 AM,,5661,6/8/2018 11:34:26 AM,Motorcycle
170,,106,6/8/2018 11:38:13 AM,,1804,6/8/2018 11:38:20 AM,Van
169,,107,6/8/2018 11:43:37 AM,,2782,6/8/2018 11:43:44 AM,Van
29,6/8/2018 11:47:29 AM,108,6/8/2018 11:46:41 AM,,913,6/8/2018 11:46:50 AM,Van
98,,109,6/8/2018 11:49:58 AM,,2476,6/8/2018 11:50:05 AM,Van
122,,110,6/8/2018 11:50:57 AM,,715,6/8/2018 11:51:11 AM,Van
49,,111,6/8/2018 11:52:38 AM,,2958,6/8/2018 11:52:46 AM,Van
66,,112,6/8/2018 11:54:52 AM,,2648,6/8/2018 11:55:00 AM,Van
39,,113,6/8/2018 11:56:21 AM,,2246,6/8/2018 11:56:44 AM,Van
107,,114,6/8/2018 11:56:37 AM,,4124,6/8/2018 11:56:56 AM,Van
111,,115,6/8/2018 12:02:11 PM,,1825,6/8/2018 12:02:17 PM,Van
149,,116,6/8/2018 12:02:52 PM,,2108,6/8/2018 12:02:59 PM,Van
74,,117,6/8/2018 12:03:52 PM,,3831,6/8/2018 12:03:59 PM,Van
55,,118,6/8/2018 12:05:13 PM,,2366,6/8/2018 12:05:21 PM,Van
104,,119,6/8/2018 12:10:26 PM,,943,6/8/2018 12:10:34 PM,Van
117,,120,6/8/2018 12:10:27 PM,,2516,6/8/2018 12:10:35 PM,Van
104,,121,6/8/2018 12:11:42 PM,,3246,6/8/2018 12:11:48 PM,Van
88,,122,6/8/2018 12:16:16 PM,,12630,6/8/2018 12:16:27 PM,Van
188,,123,6/8/2018 12:17:41 PM,,429,6/8/2018 12:17:49 PM,Van
11,,124,6/8/2018 12:19:40 PM,,20718,6/8/2018 12:21:55 PM,Van
1,,125,6/8/2018 12:21:09 PM,,4149,6/8/2018 12:22:58 PM,Van
33,,126,6/8/2018 12:21:32 PM,,7407,6/8/2018 12:21:43 PM,Van
24,,127,6/8/2018 12:23:14 PM,,1849,6/8/2018 12:23:24 PM,Motorcycle
6,,128,6/8/2018 12:23:48 PM,,10307,6/8/2018 12:24:39 PM,Van
117,,129,6/8/2018 12:27:16 PM,,2437,6/8/2018 12:27:25 PM,Van
79,6/8/2018 12:28:39 PM,130,6/8/2018 12:27:44 PM,,1769,6/8/2018 12:27:53 PM,Van
22,,131,6/8/2018 12:29:01 PM,,696,6/8/2018 12:29:12 PM,Van
37,,132,6/8/2018 12:30:50 PM,,3048,6/8/2018 12:31:05 PM,Van
16,,133,6/8/2018 12:34:06 PM,,2775,6/8/2018 12:34:16 PM,Van
13,,134,6/8/2018 12:34:45 PM,,5391,6/8/2018 12:35:04 PM,Van
57,,135,6/8/2018 12:35:28 PM,,1762,6/8/2018 12:35:42 PM,Van
97,,136,6/8/2018 12:36:21 PM,,5240,6/8/2018 12:36:30 PM,Van
11,,137,6/8/2018 12:41:07 PM,,2941,6/8/2018 12:41:55 PM,Van
26,,138,6/8/2018 12:45:07 PM,,808,6/8/2018 12:45:17 PM,Van
20,,139,6/8/2018 12:47:11 PM,,704,6/8/2018 12:47:19 PM,Van
33,,140,6/8/2018 12:48:05 PM,,17334,6/8/2018 12:48:16 PM,Van
54,,141,6/8/2018 12:50:59 PM,,8482,6/8/2018 12:51:19 PM,Van
84,6/8/2018 12:52:01 PM,142,6/8/2018 12:51:33 PM,,2639,6/8/2018 12:51:54 PM,Van
84,6/8/2018 12:52:39 PM,143,6/8/2018 12:52:14 PM,,3438,6/8/2018 12:52:33 PM,Van
79,,144,6/8/2018 12:52:25 PM,,2648,6/8/2018 12:52:44 PM,Van
139,,145,6/8/2018 12:56:03 PM,,1693,6/8/2018 12:56:12 PM,Van
107,,146,6/8/2018 12:57:17 PM,,1701,6/8/2018 12:57:22 PM,Van
5,,147,6/8/2018 12:59:08 PM,,4404,6/8/2018 12:59:31 PM,Van
26,,148,6/8/2018 12:59:24 PM,,2259,6/8/2018 12:59:32 PM,Van
19,,149,6/8/2018 1:04:45 PM,,2029,6/8/2018 1:05:20 PM,Van
59,,150,6/8/2018 1:05:03 PM,,1664,6/8/2018 1:05:12 PM,Van
140,6/8/2018 1:10:31 PM,151,6/8/2018 1:08:41 PM,,3155,6/8/2018 1:08:49 PM,Van
15,,152,6/8/2018 1:10:24 PM,,13949,6/8/2018 1:10:48 PM,Van
109,,153,6/8/2018 1:14:18 PM,,2944,6/8/2018 1:14:25 PM,Van
13,,154,6/8/2018 1:14:43 PM,,781,6/8/2018 1:15:17 PM,Van
74,,155,6/8/2018 1:22:34 PM,,1396,6/8/2018 1:22:42 PM,Van
